,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1891,87,11,1892,85,603,89,600,218,14,500,601,105,2493,9340,550,98,857,73,162,275,807,861,856,18,745,137,115,562,120,272,196,238,165,180,348,2501,22,769,871
1,155,76341,106646,27205,49026,11324,24,1422,489,68718,550,19995,157336,272,393,122,16869,22,37799,752,140607,137113,293660,281957,14160,1726,640,120467,36557,120,210577,17654,115,1372,121,12405,10681,24428,118340,603
2,424,641,550,680,807,14,603,77,629,497,13,274,278,1422,238,453,600,500,73,857,38,194,24,694,745,197,3131,275,627,640,187,121,598,141,489,120,115,101,1892,752
3,3114,521,303,239,770,76,221,99,826,289,426,334,10161,756,164,567,387,947,279,820,275,872,11368,11,223,433,793,33,642,62,28,1541,9277,665,213,1891,14,578,9366,4203
4,680,581,424,10020,197,329,812,629,13,278,862,274,5503,8587,568,807,280,7984,114,63,1891,275,687,11,857,628,238,550,603,14,348,745,1892,85,489,137,713,101,601,769
5,10020,812,8587,581,197,329,568,114,5503,13,10112,278,862,771,680,807,628,280,63,10144,808,274,671,1891,137,9479,433,11,585,601,1892,22,89,12,87,863,8358,424,105,603
6,11,329,274,13,218,105,1892,1891,871,686,5503,568,78,862,348,62,680,539,603,629,89,2493,280,137,85,578,275,278,601,745,861,857,863,1669,941,679,197,812,562,9806
7,278,629,680,424,581,274,628,8587,329,807,197,13,568,280,5503,812,275,63,550,10020,603,862,1891,238,857,14,11,1892,101,745,769,137,77,73,500,114,600,85,489,348
8,85,121,105,1891,180,120,603,122,89,1892,22,11,87,425,9806,218,808,98,272,1895,161,2501,165,550,348,585,13,137,196,857,601,18,745,2502,77,640,562,671,329,14
9,36557,11036,272,121,2502,808,2501,122,45269,14160,22,58,10681,120,812,12,10674,69,671,672,9806,2503,585,98,1895,155,161,673,1726,674,1372,9693,752,616,425,19995,180,79,186,675
10,197,274,568,5503,329,857,280,13,680,278,603,597,1891,807,11,745,1892,218,424,581,629,862,686,238,489,348,85,275,63,14,8587,812,601,550,105,1669,562,137,89,120
11,4348,71,11036,7863,770,137,1904,10229,824,808,672,114,350,433,289,674,671,1541,153,98,79,77,194,10144,10637,489,129,18,22,162,4147,105,279,640,13,334,12445,239,161,12
12,603,98,107,85,807,146,1891,550,120,857,89,121,14,11,2501,1892,745,218,77,122,272,680,500,600,22,348,13,180,87,393,808,562,137,115,1422,161,73,238,105,24
13,197,807,274,568,680,581,63,329,280,13,278,5503,603,629,275,857,1891,424,8587,11,862,812,101,628,550,1892,348,14,500,745,218,238,10020,89,600,769,73,562,114,85
14,280,105,218,601,87,180,453,348,497,73,196,329,14,13,1891,165,1892,98,603,694,686,640,745,207,1933,782,500,941,1895,18,807,680,1813,235,424,857,1669,238,562,600
15,129,77,600,78,641,194,155,500,275,550,272,28,38,115,141,1417,24,531,128,14160,37247,14,120,121,629,49026,2493,10193,393,22,137,752,510,769,670,9428,1422,10681,153,603
16,603,1891,11,1892,13,857,121,120,680,122,550,218,85,238,278,274,329,197,98,89,280,155,14,745,629,348,77,424,807,600,180,497,87,272,862,2501,115,562,27205,22
17,550,238,500,769,600,275,629,14,745,1422,278,603,641,627,77,807,28,429,510,115,489,680,424,73,37247,1891,27205,38,24,120,1892,272,567,13,85,11,857,141,103,98
18,85,567,426,2493,235,89,218,1891,11,275,18,78,521,280,601,348,238,603,137,9277,1892,105,562,14,213,782,510,857,239,28,600,856,279,792,679,745,500,539,680,387
19,863,10020,812,10144,8587,808,10674,9340,856,671,121,433,329,601,120,22,1891,672,585,756,862,165,12,105,87,673,1892,85,129,13,771,89,1895,10386,674,11,2493,9444,9806,640
20,165,105,425,196,101299,58,672,118340,11,137113,1726,2503,767,284052,671,863,674,22,673,1891,82702,87,14160,808,594,19995,36557,13475,1892,24428,17654,1895,49538,12445,10681,2502,89,675,54138,601
21,278,13,146,103,274,510,1018,581,628,9008,238,393,345,629,680,1669,568,334,550,329,694,2118,153,492,642,279,280,28,114,713,500,98,275,5503,769,269,24,319,424,14
22,600,78,694,641,77,28,500,290,62,348,14,627,387,426,550,101,141,129,629,769,81,275,149,334,603,115,680,807,322,37247,567,2118,238,137,1891,194,11,103,792,9366
23,278,13,137,603,85,274,680,550,629,857,11,497,155,807,1891,238,745,14,2501,272,1892,120,489,122,329,22,752,77,769,862,27205,275,121,600,1422,98,115,89,500,38
24,120,122,27205,121,603,49026,155,10681,14160,98,16869,1726,11,272,550,857,22,19995,11324,1891,77,2501,752,157336,9806,205596,24,1892,1422,180,745,36557,24428,17654,278,808,640,13,2503,12
25,680,274,807,13,278,629,329,568,197,550,280,603,275,424,5503,14,581,1891,500,769,238,857,11,745,63,101,73,77,862,8587,1892,812,348,600,120,85,694,98,89,218
26,531,105,532,85,2493,11,87,13,1892,1891,196,863,8587,22,871,329,862,137,89,165,808,10020,10144,671,120,1895,603,530,2501,18,812,601,161,585,121,9340,686,218,9806,180
27,122,1726,1891,19995,603,280,10681,11,2501,218,2503,155,36557,1669,121,272,1892,679,98,89,197,8681,120,861,27205,137113,680,1895,8321,17654,857,238,78,13,85,562,278,118340,348,18
28,1422,98,62,429,2118,769,238,44264,13,603,115,550,24,348,85,14,600,4147,77,500,78,391,1892,1891,1949,120,2501,9693,272,745,180,278,680,752,11,68718,857,155,121,641
29,122,27205,155,120,603,272,10681,1891,49026,14160,11,121,157336,278,1892,137113,22,1726,85,550,19995,89,2501,24428,752,13,98,857,36557,77,17654,9806,808,293660,674,24,671,118340,1422,76341
30,562,1891,289,85,812,105,756,11,1892,348,603,329,89,87,857,601,218,238,578,13,808,14,18,2493,275,62,600,856,679,862,500,10144,492,2501,120,5503,280,433,745,769
31,629,275,278,11,680,1891,2493,603,562,769,274,289,13,238,85,550,500,1892,807,14,63,857,600,329,424,137,197,28,280,78,745,105,348,89,77,218,120,5503,62,101
32,603,857,274,424,629,13,2118,197,278,680,1892,782,14,1891,550,238,329,11,745,280,812,807,85,348,275,108,137,5503,713,600,4995,500,627,101,497,120,218,77,78,666
33,153,393,24,79,146,77,22,38,194,752,187,808,18,141,550,129,9806,12,161,128,1933,162,1422,1895,2501,1124,180,453,272,58,585,14,115,640,9428,1359,641,694,107,674
34,568,581,629,329,680,13,197,278,274,5503,280,10020,812,807,424,8587,862,628,63,114,275,1891,11,238,489,769,1892,85,603,857,14,105,500,137,550,771,745,348,524,28
35,2118,213,567,521,278,426,289,275,238,500,303,769,78,510,28,103,274,629,14,62,37247,792,11,489,539,117,745,600,680,857,947,1891,578,826,348,387,239,235,85,1541
36,680,568,13,278,329,581,5503,197,274,280,807,629,424,812,8587,603,862,10020,1891,550,63,11,275,857,114,628,1892,14,489,745,238,769,85,105,348,218,771,137,89,77
37,197,5503,329,280,680,274,13,9479,568,278,807,581,857,812,1891,603,629,862,1892,63,275,10020,11,8587,628,348,218,424,771,85,562,745,2493,137,114,89,238,679,1669,861
38,1891,11,1892,745,680,89,14,218,500,274,629,679,275,280,348,603,550,2493,85,769,578,238,105,857,539,120,329,807,77,235,562,13,694,600,137,278,87,861,122,197
39,108,109,680,110,278,103,862,629,6075,275,807,550,14,13,197,274,500,101,329,769,238,603,77,581,694,63,857,11,348,424,28,745,38,426,812,1891,539,137,524,322
40,46738,265195,805,25376,60243,1018,345,103663,6977,77338,694,641,1933,141,598,38,423,222935,627,637,77,194,273248,3933,85350,5528,680,24,73,279,1417,393,550,582,334,70,153,14836,539,129
41,629,500,238,769,680,600,274,13,857,275,137,524,792,603,73,278,489,807,11,14,2493,424,627,28,550,782,63,62,329,694,319,115,197,334,111,568,1891,745,1892,117
42,10020,8587,812,329,5503,13,114,862,568,581,280,278,197,771,10112,628,274,807,10144,680,808,137,1892,1891,11,63,585,863,9479,105,12,22,629,424,433,87,601,603,2493,671
43,11,1892,1891,603,862,89,85,105,218,348,857,329,275,137,601,238,87,562,14,2493,861,13,745,280,1645,278,120,63,180,165,679,122,274,808,600,121,272,629,197,18
44,2501,550,161,122,12,120,808,22,121,2502,640,585,98,73,752,603,497,453,77,745,1422,9806,489,24,1895,857,155,180,38,8358,393,27205,2503,36557,14,272,107,13,278,187
45,812,8587,5503,10020,329,197,274,862,13,680,629,278,280,568,581,807,63,1891,628,11,1892,424,275,603,857,137,114,771,238,85,808,745,14,348,105,550,2493,89,218,769
46,25793,277216,497,45317,77016,13,152532,50014,318846,278,601,597,338766,70,244786,109424,87827,69,324786,106646,381284,11036,114,235,37799,68734,13223,1372,19995,65754,2062,115,210577,489,10474,462,44264,10139,8681,12
47,87,603,180,782,18,218,1891,11,1892,857,117,10144,686,601,348,745,562,137,14,196,105,165,161,89,78,85,808,121,280,2649,120,1669,550,2501,861,98,500,1895,600,115
48,603,857,27205,550,1891,13,278,11,1892,348,120,155,601,122,745,98,424,197,679,77,22,8358,121,680,808,180,2501,807,12,497,272,218,115,137,640,19995,89,157336,562,85
49,947,269,28,426,797,303,103,665,642,62,223,625,78,11368,279,149,145,15371,213,387,746,694,805,794,826,2118,11216,792,147,239,614,2000,334,9552,11005,500,309,348,571,600
50,679,766,348,62,11906,117,393,794,391,3131,103,1891,9552,11368,28,745,600,280,11,2666,78,642,429,1813,218,24,500,1892,319,115,603,9479,769,938,162,861,180,141,165,1359
51,155,24428,118340,17654,27205,76341,2501,150540,13475,36557,140607,752,19995,2502,1726,12405,137113,11324,122,24,22,293660,272,8321,8681,393,1372,49026,13,603,550,120,1892,278,54138,14160,10191,9509,1422,2503
52,804,14283,164,5967,1633,433,11416,11216,2118,387,37247,137,10161,25538,426,845,11190,2517,289,279,1116,11368,334,10867,9008,13403,145,147,492,207,907,239,10637,1541,782,629,704,625,4203,820
53,13,278,274,680,329,629,197,807,5503,280,568,603,424,862,275,550,63,1891,11,581,857,812,1892,14,8587,238,745,769,137,77,120,85,101,348,218,500,122,628,73,105
54,1422,107,100,272,752,186,6977,155,36557,115,22,1372,550,393,161,24,1124,9806,98,13223,2501,27205,2502,640,16869,641,14,603,12163,10681,388,111,4982,425,769,73,9693,77,322,58
55,13,274,807,8587,278,680,329,280,197,5503,603,629,568,424,1891,812,581,550,857,862,11,275,14,745,1892,63,218,10020,101,238,808,105,500,120,137,114,85,562,89,348
