,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,278,238,550,1891,11,85,603,680,424,2493,629,274,769,500,77,13,73,857,289,1892,28,122,155,194,1422,497,14,600,120,38,510,27205,947,567,275,78,807,279,792,105
1,278,550,155,680,1422,603,238,13,27205,122,629,77,489,807,857,38,274,1891,73,769,1892,85,497,120,424,106646,16869,11324,510,10681,24,500,49026,101,11,121,14,640,453,107
2,278,424,274,550,680,238,13,629,603,77,857,1891,38,1892,11,122,194,807,14,197,73,27205,120,155,275,497,637,500,1422,121,85,2493,600,101,453,289,769,280,510,28
3,238,278,11,1891,680,289,274,550,2493,424,629,85,769,28,603,14,275,500,567,279,77,13,857,122,155,1892,194,510,120,73,826,78,1422,947,37247,600,38,497,280,429
4,278,424,238,274,629,11,550,1891,13,2493,197,603,680,85,857,769,155,77,1892,289,73,194,500,122,275,28,14,5503,1422,120,510,280,862,38,637,7984,27205,78,63,121
5,278,238,424,550,274,11,13,1891,603,197,2493,85,629,857,77,1892,769,680,73,155,122,194,500,63,289,275,1422,5503,14,38,28,280,27205,120,807,510,600,862,8587,101
6,278,238,550,1891,11,629,424,603,680,2493,85,274,155,13,769,1892,77,122,857,73,289,194,120,14,28,129,500,38,121,510,105,27205,1422,497,107,16869,567,279,453,600
7,278,238,424,550,629,274,13,603,2493,11,1891,680,197,857,73,77,769,155,85,1892,194,500,510,289,38,1422,497,122,63,14,28,5503,600,27205,807,120,275,78,637,280
8,85,278,603,680,1891,550,11,105,238,122,629,1892,121,2493,77,274,120,13,155,857,769,194,424,14,89,28,289,1422,27205,78,73,500,497,10681,808,38,107,807,280,600
9,278,155,238,13,1891,424,629,122,603,1892,550,73,77,85,1422,11,120,274,680,121,27205,2493,857,769,38,16869,129,194,489,107,101,105,14,98,510,12,453,497,600,289
10,278,238,424,603,550,2493,11,274,857,13,197,629,1891,85,680,155,77,769,1892,122,73,289,500,5503,194,280,497,489,1422,38,27205,120,279,63,275,600,510,28,105,637
11,278,13,238,424,137,11,1891,629,85,603,680,14,274,550,289,857,2493,77,275,808,105,1892,71,11036,7863,862,155,194,12,769,280,122,120,812,770,500,197,453,78,28
12,278,603,85,550,680,238,1891,274,11,629,13,122,2493,107,857,155,1422,1892,77,98,73,424,807,194,27205,769,120,14,500,121,105,497,280,600,197,63,101,510,38,808
13,278,238,424,550,11,274,603,1891,629,13,2493,197,85,857,680,77,73,1892,769,122,194,500,63,155,807,600,5503,275,120,28,1422,280,14,78,637,289,497,38,510,27205
14,278,550,238,603,680,1891,629,424,13,85,274,11,77,2493,1892,73,155,1422,769,122,857,27205,38,500,194,497,14,16869,105,107,510,120,101,600,129,289,28,453,807,429
15,278,680,238,550,424,629,274,155,603,1891,77,2493,769,289,11,28,510,1422,194,73,500,122,14,85,275,37247,16869,38,120,13,1892,78,279,129,857,600,567,497,947,807
16,278,238,550,680,603,424,1891,11,629,274,2493,155,85,769,1422,73,122,77,13,289,857,28,510,1892,500,194,27205,120,38,600,16869,129,497,14,567,279,37247,78,121,807
17,278,550,238,680,1891,424,603,77,629,769,11,1422,274,2493,155,73,85,500,13,1892,857,194,122,38,289,510,28,27205,16869,567,429,14,107,600,129,497,37247,101,279,120
18,278,238,11,1891,85,2493,550,680,424,603,274,629,769,77,289,857,28,13,567,500,78,1892,14,194,155,122,73,947,120,510,600,1422,280,279,197,275,129,107,27205,105
19,278,1891,238,424,11,13,274,550,603,629,85,120,1892,680,2493,155,122,77,73,129,121,194,769,1422,808,857,12,38,14,289,27205,600,8587,107,453,812,101,105,500,567
20,278,1891,550,238,603,11,85,680,155,629,1892,424,769,13,2493,274,1422,77,857,73,122,105,27205,500,107,38,16869,14,28,289,600,510,194,120,129,497,101,429,694,567
21,278,550,238,680,424,13,603,629,77,1891,155,73,510,1422,38,769,274,11,1892,857,2493,194,122,101,27205,14,129,16869,500,85,107,600,120,489,807,121,63,694,497,289
22,680,278,238,550,424,1891,77,629,274,603,11,78,500,14,2493,28,194,510,769,600,289,275,85,694,1422,73,38,155,122,857,101,1892,947,120,129,279,13,807,37247,429
23,278,238,550,603,680,424,629,274,13,155,1891,2493,85,77,11,857,73,769,1422,497,122,1892,500,38,289,27205,194,510,28,14,807,600,101,489,120,197,107,63,105,129
24,278,603,550,680,122,155,238,11,1891,629,27205,85,120,274,13,857,1892,16869,121,1422,424,77,2493,497,73,769,807,10681,98,38,14160,107,105,510,129,49026,600,14,489,194
